,Name,Access Type,Member Count,USER_NAME_ID,Created Date,USER_NAME_ID_commenter,Created Date.1
76,Enterprise Data Services & Operations,Public,554,20583,3/27/2019,90681,3/27/2019
77,Enterprise Data Services & Operations,Public,554,41892,3/26/2019,41892,3/26/2019
78,Enterprise Data Services & Operations,Public,554,20583,3/26/2019,63724,3/26/2019
79,Enterprise Data Services & Operations,Public,554,69943,3/26/2019,78226,3/26/2019
80,Enterprise Data Services & Operations,Public,554,69943,3/26/2019,78226,3/26/2019
81,Enterprise Data Services & Operations,Public,554,69943,3/26/2019,65212,3/26/2019
82,Enterprise Data Services & Operations,Public,554,69943,3/26/2019,78226,3/27/2019
83,Enterprise Data Services & Operations,Public,554,69943,3/26/2019,69943,3/28/2019
84,Enterprise Data Services & Operations,Public,554,54908,3/25/2019,39092,3/25/2019
85,Enterprise Data Services & Operations,Public,554,54908,3/25/2019,54908,3/25/2019
86,Enterprise Data Services & Operations,Public,554,54908,3/25/2019,39092,3/26/2019
87,Enterprise Data Services & Operations,Public,554,54908,3/25/2019,43544,3/26/2019
88,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,63724,3/25/2019
89,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,39092,3/25/2019
90,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,85903,3/25/2019
91,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,80911,3/25/2019
92,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,39092,3/25/2019
93,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,85903,3/25/2019
94,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,80911,3/25/2019
95,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,39092,3/25/2019
96,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,39092,3/25/2019
97,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,39092,3/25/2019
98,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,80911,3/25/2019
